crossref,librecat
book-section,book_chapter
book_section,book_chapter
monograph,book
report,report
book-track,book_chapter
book_track,book_chapter
journal-article,journal_article
journal_article,journal_article
book-part,book_chapter
book_content,book_chapter
other,book_chapter
book,book
book_title,book
journal-volume,journal_editor
journal_volume,journal_editor
book-set,book
book_set,book
reference-entry,journal_article
reference_entry,journal_article
proceedings-article,conference
proceedings_article,conference
conference_paper,conference
journal,journal_editor
component,research_data
book-chapter,book_chapter
book_chapter,book_chapter
report-series,working_paper
report_series,working_paper
report-paper_series,journal_editor
report_paper_series,journal_editor
report-paper_content,working_paper
report_paper_content,working_paper
proceedings,conference
standard,report
standard_content,report
reference-book,book
reference_book,book
posted-content,preprint
posted_content,preprint
prepublication,preprint
journal-issue,journal_editor
journal_issue,journal_editor
dissertation,dissertation
dataset,research_data
book-series,book_editor
book_series,book_editor
edited-book,book_editor
edited_book,book_editor
standard-series,book_editor
standard_series,book_editor
conference_series,conference_editor
conference_title,conference_editor
